rnum,docid,hot,thank,gift,contr,views,yviews,article,patient1,ypatient,period,treat,once
759,http://lishudoctor.haodf.com/,4.8,83,691,57225,1318763,1299,32,2288,2,3,1,1
760,http://dongxiaorong.haodf.com/,5,193,618,54080,663127,699,17,2141,0,3,1,1
761,http://zhulingjun.haodf.com/,4.8,82,1382,59150,2317766,1542,250,2338,1,3,1,1
762,http://qydoc.haodf.com/,4.5,35,637,52955,1248195,821,38,1998,0,3,1,1
763,http://wenjiezhaodr.haodf.com/,5,113,187,42015,146750,380,1,2104,2,3,1,1
764,http://renxzcn.haodf.com/,4.5,185,572,200698,16786908,7351,63,12777,2,3,1,1
765,http://qfszyypfk.haodf.com/,4.5,8,29,18795,184250,901,16,1737,3,3,1,1
766,http://majiajudr.haodf.com/,5,94,285,27040,552856,979,20,1803,4,3,1,1
767,http://drwangyuming.haodf.com/,5,81,302,87179,4607607,2491,29,7720,0,3,1,1
768,http://jiangpinghq.haodf.com/,4.7,63,255,57115,1837152,1352,54,4345,2,3,1,1
769,http://yangkaidor.haodf.com/,4.4,16,105,76520,4079418,5423,56,7487,0,3,1,1
770,http://lvxiaoai.haodf.com/,4.8,88,929,68820,929992,1194,26,2824,4,3,1,1
771,http://syyk.haodf.com/,5,90,193,5484,478577,577,27,1313,1,3,1,1
772,http://xuqingtian.haodf.com/,4.4,11,95,64553,5133697,3140,251,8188,0,3,1,1
773,http://huangtao1019.haodf.com/,4.3,35,135,73535,9098796,3233,44,6123,0,3,1,1
774,http://liwusheng134285.haodf.com/,4.1,4,27,23895,216395,1080,199,1923,0,3,1,1
775,http://whxgyh.haodf.com/,4.8,144,481,73435,4643151,4003,132,7318,6,3,1,1
776,http://artdr.haodf.com/,4.6,97,1737,142455,4444380,1653,4,4762,3,3,1,1
777,http://huyinadr.haodf.com/,4.5,68,2032,96710,609924,340,7,4885,0,3,1,1
778,http://qlwsynl.haodf.com/,4.6,117,3629,207220,2022091,1766,53,7588,1,3,1,1
779,http://cailiuhong.haodf.com/,4.6,94,260,21840,386467,903,26,1834,1,3,1,1
780,http://shengyan.haodf.com/,4.4,198,1494,557156,42169481,7139,27,22429,2,3,1,1
781,http://xudingfei.haodf.com/,4.6,97,2560,137975,1141612,991,14,4298,4,3,1,1
782,http://w1f2a3e4.haodf.com/,4.2,12,89,17540,161546,761,81,1512,5,3,1,1
783,http://wangyanjun.haodf.com/,4.7,207,419,121762,7075224,2460,2,8642,2,3,1,1
784,http://liujunent.haodf.com/,4.7,252,1241,139563,8204518,4385,166,8384,4,3,1,1
785,http://chengxiaohua010.haodf.com/,4.5,92,257,40220,1450338,2387,29,3695,0,3,1,1
786,http://chenjianjun.haodf.com/,4.5,114,572,59570,2877711,1527,30,3611,4,3,1,1
787,http://zhangcaiyundr.haodf.com/,4.5,87,238,33415,310991,913,20,1108,1,3,1,1
788,http://tianshenzhi.haodf.com/,4.2,44,237,61390,433198,1225,97,2495,3,3,1,1
789,http://entdxd.haodf.com/,4.2,103,399,159396,18918842,6629,375,12071,0,3,1,1
790,http://xingdaweidr.haodf.com/,3.5,5,55,80480,1615413,2196,1,8351,0,3,1,1
791,http://xiaoyueyuandr.haodf.com/,4.7,381,972,116518,9631732,4271,57,10359,0,3,1,1
792,http://jiahongnj.haodf.com/,4.7,274,1996,110135,2056839,3367,23,6399,1,3,1,1
793,http://qishuzhendr.haodf.com/,4.5,124,403,83985,1035700,1679,9,8190,10,3,1,1
794,http://zhaojianhongdoct.haodf.com/,4.5,141,479,45845,433210,794,6,2610,2,3,1,1
795,http://yingzuolin.haodf.com/,4.5,142,2029,342595,1918535,2169,1,5212,3,3,1,1
796,http://ljl306.haodf.com/,4.4,98,754,198298,6968555,4760,261,17305,4,3,1,1
797,http://zhaotao84543939.haodf.com/,4.4,107,386,34415,323274,528,10,1544,4,3,1,1
798,http://cuifan1.haodf.com/,4.3,101,677,212340,5251407,3749,0,12739,5,3,1,1
799,http://zhangzhen6503.haodf.com/,4.3,114,467,113360,3746314,3231,9,8622,1,3,1,1
800,http://tangling1972.haodf.com/,5,46,128,33720,811344,1240,3,3116,0,3,1,1
801,http://stoneyoung.haodf.com/,3.9,74,788,276625,6521529,4620,6,15160,0,3,1,1
802,http://ningxudr.haodf.com/,3.9,41,162,69560,1770139,1833,185,6588,1,3,1,1
803,http://gaohong0535.haodf.com/,3.7,5,16,24225,86405,200,0,782,0,3,1,1
804,http://gbdf.haodf.com/,3.7,15,78,43970,1118951,2746,178,4680,0,3,1,1
805,http://liqiang0059.haodf.com/,3.6,4,30,65520,507792,1233,14,3850,0,3,1,1
806,http://zhaozhanhua.haodf.com/,3.6,8,78,44785,523757,1091,0,4117,4,3,1,1
807,http://swxjl.haodf.com/,3.5,8,77,55925,1043437,1580,40,4682,0,3,1,1
808,http://xdj1130.haodf.com/,3.4,2,28,25145,325095,666,71,2559,0,3,1,1
809,http://txzyh667688.haodf.com/,3.2,2,9,23730,228855,353,0,1873,0,3,1,1
810,http://tang999.haodf.com/,4.9,202,2475,1320579,104218744,35592,139,46172,19,3,1,1
811,http://glchenhai.haodf.com/,4.9,144,959,177650,2836622,2688,9,12385,4,3,1,1
812,http://zhaohongledr.haodf.com/,4.5,50,239,46985,687721,934,29,2542,1,3,1,1
813,http://oliveryang1001.haodf.com/,4.3,30,206,33125,128457,485,6,1670,10,3,1,1
814,http://yizhenghui.haodf.com/,4.9,159,445,78568,5867538,2691,9,7084,0,3,1,1
815,http://djzheng01.haodf.com/,4.8,66,562,79540,1374264,1048,81,3937,3,3,1,1
816,http://tangwenzhong.haodf.com/,4.5,71,130,54160,3865896,15910,1,4714,0,3,1,1
817,http://wangxiaojing0811.haodf.com/,3.8,2,20,45705,544529,1520,6,4334,0,3,1,1
818,http://fxphh.haodf.com/,4.7,94,309,27955,152663,636,6,2168,9,3,1,1
819,http://linminggui.haodf.com/,5,142,287,73999,5509126,3130,13,8841,0,3,1,1
820,http://gs1975.haodf.com/,5,160,708,82945,2378278,1045,21,6974,10,3,1,1
821,http://chenks.haodf.com/,4.9,120,646,70165,1784661,1054,0,3944,4,3,1,1
822,http://shandongguolei.haodf.com/,4.7,129,394,40215,602508,620,17,2256,6,3,1,1
823,http://zhuwenhui2008.haodf.com/,5,144,364,40145,1081929,0,32,3263,0,3,1,1
824,http://yunan831.haodf.com/,5,280,2469,252677,14475709,8667,93,18433,9,3,1,1
825,http://xinhuayezhiyi.haodf.com/,4.3,44,597,38820,247234,573,10,955,2,3,1,1
826,http://xijingliyan.haodf.com/,4.5,205,674,33666,3235120,2284,23,4452,0,4,1,1
827,http://lijiayi76.haodf.com/,4.5,136,706,37480,921946,1808,3,2741,4,4,1,1
828,http://machangsheng.haodf.com/,4.4,276,1208,113895,12693300,3467,93,8019,3,4,1,1
829,http://zhaoliangdr.haodf.com/,4.5,133,463,59326,1161945,1553,12,3047,3,4,1,1
830,http://doctorwq.haodf.com/,4.3,74,335,27350,1131201,1659,18,2063,1,4,1,1
831,http://suchongyi.haodf.com/,4.2,68,305,44320,1844980,2311,55,4175,2,4,1,1
832,http://liuxuelingdr.haodf.com/,4.3,86,239,39470,816892,1387,3,4058,0,4,1,1
833,http://yxzhouhongmei.haodf.com/,3.9,13,99,25610,267769,769,13,1503,0,4,1,1
834,http://yupengweidr.haodf.com/,3.7,5,20,5890,211313,282,25,1225,0,4,1,1
835,http://wygsh.haodf.com/,5,168,569,55835,920892,2854,1,3456,1,4,1,1
836,http://zhoulei6093.haodf.com/,4.9,150,942,67890,1206243,2813,0,2409,0,4,1,1
837,http://zhuguoxing.haodf.com/,5,173,441,23425,1082917,2678,10,2564,11,4,1,1
838,http://linhuayisheng.haodf.com/,4.8,119,306,32625,2211191,4372,20,4032,2,4,1,1
839,http://zjm1818.haodf.com/,4.7,68,256,36260,456081,1698,14,2607,2,4,1,1
840,http://zhaoguixiandr.haodf.com/,4.7,101,567,37920,1410910,3225,56,3241,4,4,1,1
841,http://lihuady.haodf.com/,4.7,151,280,25436,955392,2555,11,2485,4,4,1,1
842,http://dongzhao301.haodf.com/,4.6,73,153,20880,337185,1497,1,929,3,4,1,1
843,http://wangmengyang1.haodf.com/,4.4,56,542,79490,2141842,12145,105,6427,0,4,1,1
844,http://mlldoctor.haodf.com/,3.8,10,36,23725,323065,4767,51,1642,0,4,1,1
845,http://qinghaitao.haodf.com/,4.8,138,1374,83895,2306284,4840,225,5638,2,4,1,1
846,http://huangyuhong66.haodf.com/,4.7,125,619,88181,4467383,4397,26,5701,0,4,1,1
847,http://liuzhengxin.haodf.com/,4.6,72,482,53750,2006547,7709,35,5557,3,4,1,1
848,http://fanglin020.haodf.com/,4.4,57,831,125210,3505688,10566,10,9623,4,4,1,1
849,http://caoqian6896.haodf.com/,4.5,74,620,50763,2247023,3521,52,2399,1,4,1,1
850,http://changhaibaiyu.haodf.com/,4.4,93,476,91053,3215090,10965,25,6096,1,4,1,1
851,http://cuizhongmindr.haodf.com/,4.5,78,140,67595,307653,4414,46,2250,0,4,1,1
852,http://drsongzhiqiang.haodf.com/,4.4,64,147,21025,688754,3650,33,1982,0,4,1,1
